id_pesquisa,id_cliente,data_resposta,trimestre_ref,segmento_declarado,produto,canal,tempo_relacionamento,nota_satisfacao,comentario,trimestre,nota_media_atendimento,qtd_atendimentos,reclamacoes_90d,tempo_medio_resolucao,acessos_app_30d,suitability_pendente
FD00001,103,2025-08-26,2025T3,Alta Renda,Carteira Administrada,Internet Banking,2-5 anos,10,,2025Q3,,0.0,1.0,53.9,5.0,0.0
FD00002,269,2025-07-08,2025T3,Alta Renda,Tesouro Direto,Assessoria,2-5 anos,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,16.3,11.0,0.0
FD00003,229,2025-08-21,2025T3,Novo Investidor,Fundos,Internet Banking,2-5 anos,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,25.5,5.0,0.0
FD00004,97,2025-07-29,2025T3,Alta Renda,Carteira Administrada,App,0-6 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,41.15,12.0,1.0
FD00005,105,2025-08-22,2025T3,Novo Investidor,Tesouro Direto,App,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00006,372,2025-09-18,2025T3,Private,Fundos,App,0-6 meses,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,26.2,8.0,1.0
FD00007,22,2025-05-09,2025T3,Private,Fundos,App,2-5 anos,10,Atendimento claro e rapido,2025Q3,9.0,1.0,0.0,22.3,7.0,0.0
FD00008,227,2025-11-08,2025T3,Novo Investidor,Fundos,App,0-6 meses,4,Demora para resolver meu problema,2025Q3,,0.0,0.0,28.4,10.0,0.0
FD00009,459,2025-09-16,2025T3,Private,CDB,App,6-24 meses,9,Informacoes estavam faceis de encontrar,2025Q3,9.0,1.0,0.0,25.05,13.0,0.0
FD00010,16,2025-01-09,2025T3,Private,CDB,App,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00011,165,2025-08-16,2025T3,Private,Carteira Administrada,App,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00012,395,2025-07-14,2025T3,Alta Renda,Fundos,App,0-6 meses,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,38.9,10.0,0.0
FD00013,401,2025-07-18,2025T3,Private,Fundos,Assessoria,6-24 meses,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00014,270,2025-08-26,2025T3,Alta Renda,CDB,App,5+ anos,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,29.35,17.0,0.0
FD00015,132,2025-10-07,2025T3,Private,Tesouro Direto,App,2-5 anos,10,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,28.4,12.0,0.0
FD00016,321,2025-09-21,2025T3,Alta Renda,CDB,App,6-24 meses,10,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,1.0,8.0,0.0
FD00017,137,2025-08-09,2025T3,Alta Renda,Carteira Administrada,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo,2025Q3,10.0,1.0,0.0,,0.0,0.0
FD00018,301,2025-09-13,2025T3,Private,CDB,App,0-6 meses,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00019,82,2025-05-08,2025T3,Varejo,CDB,Assessoria,5+ anos,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,,0.0,0.0
FD00020,87,2025-08-20,2025T3,Varejo,Fundos,Central de Atendimento,5+ anos,10,Consegui acompanhar minha carteira,2025Q3,10.0,1.0,0.0,24.8,2.0,0.0
FD00021,280,2025-07-26,2025T3,Varejo,Tesouro Direto,App,6-24 meses,7,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,,0.0,0.0
FD00022,254,2025-02-09,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Atendimento claro e rapido,2025Q3,8.0,1.0,0.0,12.175,36.0,0.0
FD00023,426,2025-10-07,2025T3,Alta Renda,COE,App,2-5 anos,9,Informacoes estavam faceis de encontrar,2025Q3,9.0,1.0,0.0,4.6,11.0,0.0
FD00024,111,2025-11-09,2025T3,Alta Renda,CDB,Internet Banking,2-5 anos,9,Assessoria ajudou na decisao,2025Q3,9.0,1.0,0.0,18.4,4.0,0.0
FD00025,79,2025-08-31,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,23.049999999999997,25.0,0.0
FD00026,283,2025-01-07,2025T3,Alta Renda,COE,Central de Atendimento,2-5 anos,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,16.2,3.0,0.0
FD00027,341,2025-07-30,2025T3,Alta Renda,Carteira Administrada,App,5+ anos,7,Aplicativo poderia explicar melhor,2025Q3,6.0,1.0,0.0,,0.0,0.0
FD00028,159,2025-11-08,2025T3,Private,CDB,Internet Banking,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples",2025Q3,,0.0,0.0,20.2,19.0,0.0
FD00029,39,2025-07-23,2025T3,Varejo,Tesouro Direto,App,6-24 meses,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,15.75,12.0,1.0
FD00030,282,2025-08-20,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,26.4,10.0,0.0
FD00031,228,2025-07-29,2025T3,Alta Renda,Tesouro Direto,Assessoria,2-5 anos,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00032,315,2025-07-27,2025T3,Varejo,Fundos,Central de Atendimento,2-5 anos,8,Demorou um pouco para encontrar informacoes,2025Q3,,0.0,0.0,,0.0,0.0
